# 76 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.08.08 (yyyy.mm.dd); 13.32 hrs (EDT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 76
MWEBV: 0
REDSHIFT_HELIO: 0.06401528459874102
REDSHIFT_CMB: 0.06401528459874102
REDSHIFT_CMB_ERR: 0.001
PEAKMJD: 0
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 48
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: -8.512122276789928 g_PS1 2688.7103 123.8197 18.926139969571906 0.05
OBS: -4.256061138394964 g_PS1 4701.8031 216.526 18.319338898652777 0.05
OBS: 0.0 g_PS1 4859.4758 223.7871 18.28352643372455 0.05
OBS: 4.256061138394964 g_PS1 4536.079 208.8942 18.35829846914349 0.05
OBS: 8.512122276789928 g_PS1 3696.7697 170.2425 18.580444010312693 0.05
OBS: 12.768183415184891 g_PS1 2725.9643 125.5353 18.91119957083159 0.05
OBS: 17.024244553579855 g_PS1 1855.7852 85.4621 19.328680704850107 0.05
OBS: 21.280305691974817 g_PS1 1404.6085 64.6846 19.631111763878984 0.05
OBS: 25.536366830369783 g_PS1 915.0767 42.1408 20.096356261433506 0.05
OBS: 29.79242796876475 g_PS1 657.822 30.2938 20.454729021488042 0.05
OBS: 34.04848910715971 g_PS1 486.8394 22.4198 20.781535611230517 0.05
OBS: 38.30455024555467 g_PS1 460.6904 21.2156 20.841477128659537 0.05
OBS: -8.512122276789928 r_PS1 2744.2349 126.3767 18.90394677824062 0.05
OBS: -4.256061138394964 r_PS1 4170.4101 192.0545 18.449553088323533 0.05
OBS: 0.0 r_PS1 4411.9834 203.1793 18.388415322189026 0.05
OBS: 4.256061138394964 r_PS1 3930.1598 180.9905 18.513974479580014 0.05
OBS: 8.512122276789928 r_PS1 3386.0014 155.9311 18.67578217861569 0.05
OBS: 12.768183415184891 r_PS1 2638.8412 121.5231 18.946466857629023 0.05
OBS: 17.024244553579855 r_PS1 2577.7007 118.7075 18.97191876292068 0.05
OBS: 21.280305691974817 r_PS1 2303.0763 106.0606 19.094229207236484 0.05
OBS: 25.536366830369783 r_PS1 2084.9626 96.0161 19.202254321454994 0.05
OBS: 29.79242796876475 r_PS1 1818.407 83.7407 19.35077226842299 0.05
OBS: 34.04848910715971 r_PS1 1363.6454 62.7982 19.663246394654823 0.05
OBS: 38.30455024555467 r_PS1 977.4166 45.0117 20.024800737337827 0.05
OBS: -8.512122276789928 i_PS1 2517.2062 115.9216 18.997703022730768 0.05
OBS: -4.256061138394964 i_PS1 3074.1408 141.5694 18.780690600242508 0.05
OBS: 0.0 i_PS1 2938.2882 135.3132 18.829764034523848 0.05
OBS: 4.256061138394964 i_PS1 2598.0553 119.6449 18.96337902073931 0.05
OBS: 8.512122276789928 i_PS1 2056.2902 94.6957 19.217289009125377 0.05
OBS: 12.768183415184891 i_PS1 1660.4523 76.4667 19.44943399933584 0.05
OBS: 17.024244553579855 i_PS1 1536.7427 70.7696 19.533497107386015 0.05
OBS: 21.280305691974817 i_PS1 1648.8091 75.9305 19.45707406567899 0.05
OBS: 25.536366830369783 i_PS1 2026.5729 93.3271 19.233094404740424 0.05
OBS: 29.79242796876475 i_PS1 1984.2632 91.3787 19.256001813881284 0.05
OBS: 34.04848910715971 i_PS1 1669.6922 76.8922 19.44340893830575 0.05
OBS: 38.30455024555467 i_PS1 1203.8488 55.4393 19.798570094597025 0.05
OBS: -8.512122276789928 z_PS1 2140.2242 98.561 19.173851812175688 0.05
OBS: -4.256061138394964 z_PS1 2956.9944 136.1746 18.822873736781357 0.05
OBS: 0.0 z_PS1 2682.2115 123.5204 18.928767461977184 0.05
OBS: 4.256061138394964 z_PS1 2361.3527 108.7443 19.067097867431407 0.05
OBS: 8.512122276789928 z_PS1 2059.368 94.8374 19.21566509423205 0.05
OBS: 12.768183415184891 z_PS1 1528.4049 70.3856 19.539403981332168 0.05
OBS: 17.024244553579855 z_PS1 1385.2926 63.7951 19.64614623707775 0.05
OBS: 21.280305691974817 z_PS1 1415.0439 65.1652 19.623075202644237 0.05
OBS: 25.536366830369783 z_PS1 1546.5767 71.2225 19.526571343642754 0.05
OBS: 29.79242796876475 z_PS1 1510.3759 69.5554 19.552287405598392 0.05
OBS: 34.04848910715971 z_PS1 1399.1617 64.4338 19.63533022753654 0.05
OBS: 38.30455024555467 z_PS1 1341.1098 61.7604 19.681339159660254 0.05
END:
